Product,Category
HOUSE SOURDOUGH,Standard Loaves
HOUSE SOURDOUGH XL,XL Loaves
SOURDOUGH BATARD,Standard Loaves
SOURDOUGH BATARD XL,XL Loaves
BAGUETTE,Standard Loaves
BAGUETTE XL,XL Loaves
S/DOUGH,Standard Loaves
CROISSANT PLAIN,Pastries
CROISSANT ALMOND,Pastries
CROISSANT CHOCOLATE,Pastries
PAIN AU CHOCOLAT,Pastries
DANISH,Pastries
ESCARGOT,Pastries
SCROLL,Pastries
BAH ESCARGOT,Bake at Home
BAH S/ROLL,Bake at Home
BAH CHEESY VEG,Bake at Home
BAH SHARE PIE,Bake at Home
BAKE AT HOME BREAD,Bake at Home
STOLLEN,Weekend Special
SALT & PEPPER BAGUETTE,Weekend Special
SALT AND PEPPER BAGUETTE,Weekend Special
GINGER SNAP,FMT
TART,FMT
FMT,FMT
COOKIE,Retail Items
GRANOLA,Retail Items
COFFEE,Retail Items
REDBRICK,Retail Items
HONEY,Retail Items
BEYOND BREAD,Retail Items
BAKERS OVEN,Retail Items
B&B,Retail Items
BUN,Buns & Rolls
ROLL,Buns & Rolls
MUSHR & BLK BARLEY V/ROLL,Bake at Home
SILICONE MAT,Retail Items
TINNED HOUSE SOURDOUGH,Tinned Loaf
TIN ANCIENT GRAIN S/DOUGH,Tinned Loaf
TINNED SOFT SOURDOUGH,Soft Sourdough
ALMOND CROISSANT,Pastries
ANCIENT GRAIN SOURDOUGH,Standard Loaves
BAH HOUSE SOURDOUGH,Bake at Home
BAKE AT HOME CHOC CROISSNT,Bake at Home
BAKE AT HOME CINN ESCARGOT,Bake at Home
BAKE AT HOME CROISSANT,Bake at Home
BAKERS GRANOLA 500G,Retail Items
CHOCOLATE CROISSANT,Pastries
CIABATTA ROLL,Buns & Rolls
CINNAMON ESCARGOT,Pastries
CRACKED RYE SOURDOUGH,Standard Loaves
DARK RYE SOURDOUGH,Standard Loaves
GLUTEN FREE SOURDOUGH,Standard Loaves
HOUSE BAGUETTE,Standard Loaves
LAMB & MUSTARD S/ROLL,Bake at Home
MILK BUN,Buns & Rolls
OLIVE SOURDOUGH,Standard Loaves
ORANGE & RAISIN SOURDOUGH,Standard Loaves
PLAIN CROISSANT,Pastries
PORK S/ROLL,Bake at Home
POTATO BUN,Buns & Rolls
QUINOA & WALNUT SOURDOUGH,Standard Loaves
REDBRICK COFFEE COFFEE 1KG,Retail Items
SALTED RYE CHOC COOKIE 3PK,Retail Items
SLICED HOUSE SOURDOUGH,Standard Loaves
SOUR CHERRY DANISH,Pastries
SPECIALTY SOURDOUGH,Weekend Special
SPELT SOURDOUGH,Standard Loaves
SPICED APPLE DANISH,Pastries
XL ANCIENT GRAIN SOURDOUGH,XL Loaves
XL CRACKED RYE SOURDOUGH,XL Loaves
XL HOUSE SOURDOUGH,XL Loaves
XL ORANGE RAISIN S/DOUGH,XL Loaves
SANDWICH LOAF,Soft Sourdough
HOT CROSS BUNS,Hot Cross Buns
BEEF & P/BERRY SHARE PIE,Bake at Home
BEEF & P/BERRY SHARE PIE,Bake at Home
CHICK RIESLING SHARE PIE,Bake at Home
